Number of Reviews,Channel,Brand,Source Name,Item ID,Product_ID,Catalog,Stage of Development,Data Cycle,Source Product Identifier,Brand Raw,Entity Type,Link,Title,Description,About,Product Category,Source Ingredient,Relevancy,Relevancy 1,Final Relevancy,Solution Type,Geography,Rating,Configuration Name,Name,ASIN,rand_id
11,Amazon USA,Trader Joe's,Amazon USA,Amazon USA_20190523_122445,Product_20190523_77379,Product,Product,2019 Q1,B00BJDMW8A,Trader Joe's,Company,https://www.amazon.com/dp/B00BJDMW8A,"Trader Joe's Organic Oats and Flax Instant Oatmeal, 11.29 Ounce, (Pack of 2)","Trader Joe's Organic Oats & Flax Instant Oatmeal. 2 - 11.29 OZ Boxes, each box contains 8 individual packets. Low Fat, Low Sodium, Whole Grain, and Heart Healthy.","About the product Trader Joe's Organic Oats & Flax Instant Oatmeal 2 - 11.29 OZ Boxes, each box contains 8 individual packets. Low Fat, Low Sodium, Whole Grain, and Heart Healthy. More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,3.9,Amazon Products,,B00BJDMW8A,0.450199124
0,Amazon USA,Rice-A-Roni,Amazon USA,Amazon USA_20190523_123508,Product_20190523_78442,Product,Product,2019 Q1,B00IEY5ADQ,Rice A Roni,Company,https://www.amazon.com/dp/B00IEY5ADQ,Rice-A-Roni CHICKEN & GARLIC Flavor 5.9oz (2 pack),"Ingredients: RICE, WHEAT FLOUR, DURUM WHEAT SEMOLINA, SALT, SUGAR, ONIONS*, GARLIC*, NATURAL FLAVOR, MONOSODIUM GLUTAMATE, PARSLEY*, CHICKEN BROTH*, CHICKEN FAT, TURMERIC SPICE WHICH IMPARTS COLOR, HYDROLYZED CORN PROTEIN, HYDROLYZED CORN GLUTEN, SPICES, CHICKEN*, NIACIN, DISODIUM GUANYLATE, DISODIUM INOSINATE, FERRIC ORTHOPHOSPHATE, FERROUS SULFATE, THIAMIN MONONITRATE, FOLIC ACID, RIBOFLAVIN. | *DRIED. | CONTAINS WHEAT INGREDIENTS.","About the product 2 - 5.9oz Boxes of CHICKEN & GARLIC Flavor by Rice-A-Roni Simply satisfying! Rice-A-Roni® Chicken & Garlic flavor blends rice and vermicelli with chicken broth, garlic and other natural flavors to create a tasty side dish. It's the perfect complement to your favorite chicken recipes, and is sure to delight your whole family. More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice,USA,,Amazon Products,,B00IEY5ADQ,0.235652504
5,Amazon USA,Lundberg Family Farms,Amazon USA,Amazon USA_20190523_124222,Product_20190523_79156,Product,Product,2019 Q1,B00NFJPCEC,Lundberg,Company,https://www.amazon.com/dp/B00NFJPCEC,"Lundberg Family Farms Quinoa & Rice, Basil & Bell Pepper, 6 Ounce (Pack of 6)","Flavor: Basil and Bell Peppers, Brown Committed to producing the finest quality rice and rice products for your family. Since 1937, the Lundberg family has been growing healthy, great tasting rice while respecting and sustaining the earth. Today, the third and fourth generations carry on the family heritage by using eco-positive farming methods that produce wholesome, healthful rice, rice cakes, rice chips, and risottos while improving and protecting the environment for generations to come.","About the product Enjoy this appetizing blend of quinoa, rice, and spices Made with whole grains Gluten free USDA Organic NON GMO Project Verified More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Rice Bowls",,Yes,,Yes,General Rice;Quinoa,USA,2.9,Amazon Products,,B00NFJPCEC,0.791795311
0,Amazon USA,Triguni Eze Eats,Amazon USA,Amazon USA_20190523_120311,Product_20190523_75245,Product,Product,2019 Q1,B07GDLY18T,Triguni Eze Eats,,https://www.amazon.com/dp/B07GDLY18T,Rava Upma (Semolina Pilaf) (Pack of 10),"The secret of this delicious Rava Upma with a natural taste is the use of the choicest of ingredients that are food safety certified (FSSAI) which is then cooked to perfection and subsequently dehydrated in a way which retains the original flavor, texture, aroma and color. Our Company, Triguni Food is the pioneer in commercially launching dehydrated Indian popular cuisine in a convenience tub in the entire World, back in 2011. Your carton is being shipped by International Speed Post - door delivered within 10 days from the date of purchase.","About the product Delicious home taste - lowered salt inline with FDA guidelines 100% All Natural & Nature-Identical ingredients used Contains freeze-dried green peas and roasted cashewnuts Adequate portions - Approx. 13 ounces (375 grams) of prepared product - Carton of 10 Door delivered from Chennai, India using International Speed Post - Shipping time of 10 working days More",,,Yes,,Yes,General Rice;Semolina,USA,,Amazon Products,,B07GDLY18T,0.960973282
11,Amazon USA,Rice-A-Roni,Amazon USA,Amazon USA_20190523_128276,Product_20190523_83210,Product,Product,2019 Q1,B00IEYWQ9C,Rice A Roni,Company,https://www.amazon.com/dp/B00IEYWQ9C,Rice-A-Roni CHICKEN Flavor 6.9oz (5 pack),"Ingredients: RICE, WHEAT FLOUR, DURUM WHEAT SEMOLINA, SALT, SUGAR, AUTOLYZED YEAST EXTRACT*, HYDROLYZED SOY PROTEIN, ONIONS*, MONOSODIUM GLUTAMATE, NATURAL FLAVOR, PARSLEY*, GARLIC*, CHICKEN BROTH*, CHICKEN FAT, TURMERIC SPICE WHICH IMPARTS COLOR, HYDROLYZED CORN GLUTEN, NIACIN*, DISODIUM GUANYLATE, DISODIUM INOSINATE, FERRIC ORTHOPHOSPHATE, FERROUS SULFATE, THIAMIN MONONITRATE, TURMERIC EXTRACT, FOLIC ACID, RIBOFLAVIN. | *DRIED. | CONTAINS WHEAT AND SOY INGREDIENTS.","About the product 5 - 6.9oz Boxes of CHICKEN Flavor by Rice-A-Roni A family classic! Rice-A-Roni Chicken flavor blends rice and vermicelli with chicken broth, onions, parsley, garlic and other natural flavors to create a delicious side dish that will delight your whole family. It's the perfect complement to your favorite chicken recipes. More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice,USA,4,Amazon Products,,B00IEYWQ9C,0.256813373
44,Amazon USA,Lundberg Family Farms,Amazon USA,Amazon USA_20190523_126816,Product_20190523_81750,Product,Product,2019 Q1,B00NFJPCAG,Lundberg,Company,https://www.amazon.com/dp/B00NFJPCAG,"Lundberg Family Farms Whole Grain Quinoa & Rice, Rosemary Blend, 6 Ounce (Pack of 6)","Flavor: Rosemary Blend | Size: 6 Pack Committed to producing the finest quality rice and rice products for your family. Since 1937, the Lundberg family has been growing healthy, great tasting rice while respecting and sustaining the earth. Today, the third and fourth generations carry on the family heritage by using eco-positive farming methods that produce wholesome, healthful rice, rice cakes, rice chips, and risottos while improving and protecting the environment for generations to come.","About the product Enjoy this appetizing blend of quinoa, rice, and spices Gluten free USDA Organic A vegan and kosher product NON GMO Project Verified More",Grocery & Gourmet Food › Produce › Dried Fruits & Vegetables › Dried Vegetables › Dried Mushrooms › Porcini,,Yes,,Yes,General Rice;Quinoa,USA,4,Amazon Products,,B00NFJPCAG,0.253453413
16,Amazon USA,Quaker Oats,Amazon USA,Amazon USA_20190523_122523,Product_20190523_77457,Product,Product,2019 Q1,B00V1OFSP6,Quaker,Company,https://www.amazon.com/Near-East-Pilaf-Chicken-6-25oz/dp/B00V1OFSP6/ref=lp_6499443011_1_11_s_it/131-2356650-7267240?ie=UTF8&qid=1557667255&sr=1-11&fpw=pantry,"Near East Rice Pilaf Mix, Chicken, 6.25oz Box","Our Chicken Pilaf Mix is a classic combination of long grain rice, toasted orzo pasta, natural chicken flavors and a delicate blend of herbs and seasonings. Near East Chicken Pilaf Mix is Kosher Certified.","Rice pilaf mix with natural chicken flavors, long grain rice, orzo, mild red peppers, and soy sauce Made with 100% natural, certified kosher ingredients Cooks in under 30 minutes Separate seasoning packet contains a blend of herbs and spices to create for an authentic flavor from around the world Make tonight special by creating an exciting dish with your favorite Near East product. Visit our website's Recipe section to find a simply delicious dish",,,Yes,,Yes,General Rice,USA,4,Amazon Products,,B00V1OFSP6,0.902899392
2,Amazon USA,Uncle Ben's,Amazon USA,Amazon USA_20190523_128666,Product_20190523_83600,Product,Product,2019 Q1,B07QWRWJYL,Uncle Ben's,Company,https://www.amazon.com/dp/B07QWRWJYL,"Uncle Ben's Original Long Grain White Rice, 2 Lb. (pack Of 6)","Size: 1lb. (6pk) Make your family's meals even more delicious with this classic kitchen staple. Try our Original Converted Brand Long Grain White Rice in your favorite rice dishes, from rice pilaf and jambalaya to stir-fry rice recipes-and everything in-between. Long grain rice is wholesome and versatile. Uncle Ben's Original Converted Long Grain Rice helps support a healthy heart and a balanced diet. Plus, this rice is gluten free, sodium free, and cholesterol free, and contains zero grams of trans fat and no saturated fat so Uncle Ben's Original Converted Brand Rice is a choice you can feel good about. When you start your meal with Uncle Ben's rice, it's easy to cook a tasty, wholesome meal that everyone will enjoy. Diets low in saturated fats and cholesterol may reduce the risk of heart disease.","About the product A delicious, long grain white rice for all types of rice dishes More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice;White Rice,USA,4.6,Amazon Products,,B07QWRWJYL,0.784694151
0,Amazon USA,VintPrint,Amazon USA,Amazon USA_20190523_126449,Product_20190523_81383,Product,Product,2019 Q1,B07PMY3HV6,VintPrint,,https://www.amazon.com/dp/B07PMY3HV6,"Photography Poster - Rice, Mushrooms, Risotto Rice, 24""x16.5""",,"Measures 24 inches x 16.5 inches. This poster is printed on high quality glossy paper and includes a .5 inch border on all sides to allow for matting and framing. Make sure to order from VintPrint and avoid cheap, knockoff products from other sellers. The product that you are viewing is a VintPrint brand product and we cannot guarantee the quality of prints purchased from other sellers. All our posters are reproductions. We do not sell originals.","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Risotto",,Yes,,Yes,General Rice,USA,,Amazon Products,,B07PMY3HV6,0.833672385
0,Amazon USA,American Standart,Amazon USA,Amazon USA_20190523_122581,Product_20190523_77515,Product,Product,2019 Q1,B078Q9H154,American Standart,Brand,https://www.amazon.com/dp/B078Q9H154,"Near East Rice Pilaf, 6 ct./6.09 oz. AS","Original Rice Pilaf is made from premium parboiled long grain rice, toasted orzo and a delicious blend of herbs and spices.",About the product Kosher-certified Perfect accompaniment to any meal Includes six 6.9-oz. boxes of rice per pack More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Pilaf",,Yes,,Yes,General Rice,USA,,Amazon Products,,B078Q9H154,0.175874443
0,Amazon USA,Rice-A-Roni,Amazon USA,Amazon USA_20190523_128650,Product_20190523_83584,Product,Product,2019 Q1,B00IEZGX9U,Rice A Roni,Company,https://www.amazon.com/dp/B00IEZGX9U,Rice-A-Roni CHICKEN & BROCCOLI Flavor 4.9oz (24 pack),"Ingredients: RICE, WHEAT FLOUR, DURUM WHEAT SEMOLINA, BROCCOLI*, SALT, SUGAR, AUTOLYZED YEAST EXTRACT*, HYDROLYZED SOY PROTEIN, ONIONS*, NATURAL FLAVOR, CARROTS*, MONOSODIUM GLUTAMATE, CHICKEN BROTH*, GARLIC*, CHICKEN FAT, PARSLEY*, HYDROLYZED CORN GLUTEN, TURMERIC SPICE WHICH IMPARTS COLOR, NIACIN, DISODIUM GUANYLATE, DISODIUM INOSINATE, FERRIC ORTHOPHOSPHATE, FERROUS SULFATE, THIAMIN MONONITRATE, TURMERIC EXTRACT, SPICES, FOLIC ACID, RIBOFLAVIN. | *DRIED. | CONTAINS WHEAT AND SOY INGREDIENTS.",About the product 24 - 4.9oz Boxes of CHICKEN & BROCCOLI Flavor by Rice-A-Roni A family classic! Rice-A-Roni® Chicken & Broccoli flavor is a blend of tender rice and vermicelli with chicken broth and broccoli. This flavorful side dish is the perfect complement to your family's favorite chicken recipes. More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice,USA,,Amazon Products,,B00IEZGX9U,0.156515419
0,Amazon USA,Cream of Wheat,Amazon USA,Amazon USA_20190523_127650,Product_20190523_82584,Product,Product,2019 Q1,B07NKG9Z9K,Cream of Wheat,,https://www.amazon.com/dp/B07NKG9Z9K,"(Pack of 12, 36 Ct)) Cream Of Wheat Instant Oatmeal Cinnamon",,"About the product Cream Of Wheat Prodcut Pack of 12, 36 Ct) More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,,Amazon Products,,B07NKG9Z9K,0.177444456
1,Amazon USA,Maggi,Amazon USA,Amazon USA_20190523_125674,Product_20190523_80608,Product,Product,2019 Q1,B0046GZQKS,Maggi,,https://www.amazon.com/dp/B0046GZQKS,"Maggi Spaetzle, 10.5-Ounce Boxes (Pack of 4)","Maggi Spaetzle, Authentic German Dumplings, Imported from Germany. From German and Swiss roots in Stuttgart and the Black Forest comes Maggi Spaetzle, or tiny dumplings. In those countries, Spaetzle is traditionally served with bratwurst, knackwurst, or sausage. Maggi Spaetzle can also be served as a delicious side dish personalized with your favorite add-ins - cheese, onions, butter, sauces and herbs or as a satisfying entree - casserole with ham and mushrooms. It's a delicious change from pasta, potato or rice dishes!","About the product Tiny swiss-style dumplings Serve this authentic dish tossed with butter, cream sauce or gravy Tastes great with chicken or beef More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Pasta & Noodle Dishes",,Nope;Yes,,Yes,General Rice,USA,4,Amazon Products,,B0046GZQKS,0.934052089
1,Amazon USA,Nature'S Earthly Choice,Amazon USA,Amazon USA_20190523_124597,Product_20190523_79531,Product,Product,2019 Q1,B0078DPHJG,Nature's Earthly Choice,Company,https://www.amazon.com/dp/B0078DPHJG,Natures Earthly Choice Whole Grain Wheat Berries - 14 oz,"It was recognized not only for its superior nutritional qualities, but also for its invigorating properties. Much like quinoa, chias very existence was threatened with the arrival of the Spanish Conquistadors. The invading Europeans banned any foods that were linked to traditional Aztec religion or tradition. Luckily, thanks to a few small tribes of indigenous peoples, cultivation of chia continued until today.",About the product Red winter wheat berries All natural Non-GMO project verified More,Grocery & Gourmet Food › Pantry Staples › Dried Grains & Rice › Wheat Berries,,Yes,,Yes,Wheat Grains,USA,5,Amazon Products,,B0078DPHJG,0.943891856
36,Amazon USA,Bob's Red Mill,Amazon USA,Amazon USA_20190523_122572,Product_20190523_77506,Product,Product,2019 Q1,B00KQ1S6FY,Bob's Red Mill,Company,https://www.amazon.com/dp/B00KQ1S6FY,Bob's Red Mill Oats Steel Cut - 24 oz - 2 pk,"Bob's Red Mill Steel Cut Oats. Bob's Red Mill Steel Cut Oats. Pack of 2 - 24 ounce bags. Steel Cut Oats,also known as Pinhead Oats or Irish Oats, have always been a universal customer favorite at Bob's Red Mill.",About the product Bob's Red Mill Steel Cut Oats Pack of 2 - 24 ounce bags Also known as Pinhead Oats or Irish Oats 100% Whole Grain Non-GMO; Kosher Certified More,Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,4.5,Amazon Products,,B00KQ1S6FY,0.249436159
0,Amazon USA,Evaxo,Amazon USA,Amazon USA_20190523_121218,Product_20190523_76152,Product,Product,2019 Q1,B07RQ8NSX2,EVAXO,Brand,https://www.amazon.com/dp/B07RQ8NSX2,Expect More Mahatma Long Grain Wild Rice 4.5 oz pack of 12#p,"On the StoveBring 1-1/2 cups of water and 1 tablespoon tub margarine to a boil in a medium saucepan. Stir in Mahatma Rice Mix. Cover, reduce heat and simmer for 25 minutes. Fluff lightly with fork and serve. In the MicrowaveIn a 1-2/3 quart microwave-safe dish, combine 1–2/3 cups hot water, 1 tablespoon tub margarine, and Mahatma Rice Mix. Cover and microwave on high for 3 minutes. Reduce setting to 50% power and microwave for 22 minutes. Fluff lightly with fork and serve. If your microwave does not have variable power settings follow your manufacturers directions.",About the product Wild Rice More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice;Wild Rice,USA,,Amazon Products,,B07RQ8NSX2,0.494908435
